file,paper,year,set,kind,bytes,sha256,is_pdf,pages,text_chars,questions,problem,source_url,key_status,notes
CS/2021/CS_2021_S1_KEY.pdf,CS,2021,1,KEY,132708,9fc68d0805d0b807fe99a6ddcdf89307f1e33ebb859de5ea33c199cd468adc22,True,3,2025,48 (10-85),,https://drive.google.com/uc?export=download&id=1p4nF5fT5-6svoSQtjMxtAcNEYO68ZH_Y,final,"Official IIT Bombay key: linked as 'View (CS-1)' in the 'FINAL Answer Key' column of https://gate.iitb.ac.in/G21/21_Final_QP.php. Header 'GATE 2021 Answer Key for Computer Science and Information Technology (CS - 1)'; session 5; PDF created 2021-03-17 (final keys release date). 65 rows: GA 1-10 + CS 1-55; no MTA. In the extracted text Q.No and session digits can run together ('15 MCQ GA' = Q1, session 5). 3 pp; 2025 text chars. AES-256 encrypted with an empty user password (opens without a password; owner permissions allow print + accessibility extraction only, copying disallowed); pypdf needs the 'cryptography' package to open it (the shared venv lacks it; text extracted with a private install)."
CS/2021/CS_2021_S1_QP.pdf,CS,2021,1,QP,2099026,8d424d7009fc77bbe9dfa8e86667fc2585de3271bf90a1fa1bca4aed74f07c8f,True,40,9871,20 (1-55),,https://drive.google.com/uc?export=download&id=1OeFHhzXUa9IqBUw-dOfFWG3p26khwcle,n/a,"Official IIT Bombay file: linked as 'View (CS-1)' in the Question Paper column of https://gate.iitb.ac.in/G21/21_Final_QP.php (Google Drive file/d/1OeFHhzXUa9IqBUw-dOfFWG3p26khwcle). PDF title and page header 'Computer Science and Information Technology (CS, Set-1)', footer 'Copyright (c) GATE 2021'; created 2021-02-25. 40 pp; 9871 text chars. Numbered GA Q.1-Q.10 + CS Q.1-Q.55 (65). PARTLY IMAGE-BASED: GA Q.1-Q.10 are text, but CS Q.1-Q.55 are embedded images (text layer has only page headers and section ranges like 'Q.11 - Q.15'); not OCRed. AES-256 encrypted with an empty user password (opens without a password; owner permissions allow print + accessibility extraction only, copying disallowed); pypdf needs the 'cryptography' package to open it (the shared venv lacks it; text extracted with a private install). The 2024-2027 GATE sites host only image-only rescans of 2021 CS (cs1_2021.pdf / merged cs_2021.pdf)."
CS/2021/CS_2021_S2_KEY.pdf,CS,2021,2,KEY,132264,b211fbbef2134bd355dd4d76301d800e83cb4e841ebef74706a4c55db1ea24c8,True,3,2023,50 (10-86),,https://drive.google.com/uc?export=download&id=1ZADD3mRJEchcwp6Av2xKn4sBT9JtxSXn,final,"Official IIT Bombay key: linked as 'View (CS-2)' in the 'FINAL Answer Key' column of https://gate.iitb.ac.in/G21/21_Final_QP.php. Header 'GATE 2021 Answer Key for Computer Science and Information Technology (CS - 2)'; session 6; PDF created 2021-03-17. 65 rows: GA 1-10 + CS 1-55; no MTA. Q.No and session digits can run together in the extracted text. 3 pp; 2023 text chars. AES-256 encrypted with an empty user password (opens without a password; owner permissions allow print + accessibility extraction only, copying disallowed); pypdf needs the 'cryptography' package to open it (the shared venv lacks it; text extracted with a private install)."
CS/2021/CS_2021_S2_QP.pdf,CS,2021,2,QP,2303065,413f505a27b48dba60863120740aaa231ac39909b267938f75d24fee9f8af3ea,True,43,9530,20 (1-55),,https://drive.google.com/uc?export=download&id=1uFhc0hPPMYUKKLT8EiYlWN52KplHnKUN,n/a,"Official IIT Bombay file: linked as 'View (CS-2)' in the Question Paper column of https://gate.iitb.ac.in/G21/21_Final_QP.php (Google Drive file/d/1uFhc0hPPMYUKKLT8EiYlWN52KplHnKUN). PDF title and page header 'Computer Science and Information Technology (CS, Set-2)', footer 'Copyright (c) GATE 2021'; created 2021-02-25. 43 pp; 9530 text chars. Numbered GA Q.1-Q.10 + CS Q.1-Q.55 (65). PARTLY IMAGE-BASED: GA Q.1-Q.10 are text, but CS Q.1-Q.55 are embedded images (text layer has only page headers and section ranges); not OCRed. AES-256 encrypted with an empty user password (opens without a password; owner permissions allow print + accessibility extraction only, copying disallowed); pypdf needs the 'cryptography' package to open it (the shared venv lacks it; text extracted with a private install)."
CS/2022/CS_2022_KEY.pdf,CS,2022,,KEY,429929,ee00149bd2d2ddc1b7489113ba1e7db72317ca77e8ca5b438f4dd852016457b4,True,2,1347,65 (1-65),,https://gate2026.iitg.ac.in/doc/download/Answer_keys2022/cs_2022.pdf,final,"Final INFERRED, not labelled. Text identical to IIT Kharagpur's documents/ANS/CS_ANS_GATE2022.pdf, created 2022-03-16 after the Feb 2022 challenge window and unchanged in Wayback captures from 2022-03-18 to 2024-09-20 (Wayback used only to verify). This copy is a PDFium re-save (2025-08-11); same size on gate2027. The text layer is the bare table with no paper name or year; identity confirmed by the IIT Kharagpur original and by GA Q.1 matching the QP. 65 rows: GA 1-10 + CS 11-65; no MTA. 2 pp; 1347 text chars."
CS/2022/CS_2022_QP.pdf,CS,2022,,QP,2637957,236fb65d02777feba9811b3c5ac62e6305ecfe789f2dd46e29e90f114f75951f,True,43,34146,65 (1-65),,https://gate2026.iitg.ac.in/doc/download/2022/cs_2022.pdf,n/a,"Official GATE 2022 paper (IIT Kharagpur) from the GATE 2026 site's previous-years archive; same size on the gate2027, gate2025 and gate2024 archives. Original gate.iitkgp.ac.in unreachable (connection reset upstream). Page header 'GATE 2022 Computer Science and Information Technology (CS)'; institute not named in the text. pp.1-41 = question paper, text identical page by page to IIT Kharagpur's documents/MQP/CS_GATE2022.pdf (Wayback capture 2022-03-18, used only to verify); pp.42-43 = appended answer key, identical to CS_2022_KEY.pdf. Q.1-65. 43 pp; 34146 text chars."
CS/2023/CS_2023_KEY.pdf,CS,2023,,KEY,103586,80fae0c7c43c6ee3c8b467e2187a1ff3d2984b377aa03940b0d143867a18dc60,True,2,1404,65 (1-65),,https://gate2026.iitg.ac.in/doc/download/Answer_keys2023/CS_ANS_GATE2023.pdf,final,"Final INFERRED; IIT Kanpur's page labelled it only 'Answer Key/Range'. Byte-identical (SHA-1) to IIT Kanpur's GATE2023/doc/papers/2023/ANS/CS_ANS_GATE2023.pdf (Wayback digest). PDF created 2023-03-06 by IITK_GATE, after the Feb 2023 challenge window and before results; contains post-challenge entries (GA Q.2 = MTA; alternatives such as Q.27 'A, C, D or C, D' and Q.30 '2 to 2 OR 4 to 4'). 65 rows: GA 1-10 + CS 11-65. 2 pp; 1404 text chars."
CS/2023/CS_2023_QP.pdf,CS,2023,,QP,469728,c2170087597455affd95bf8e667e8a5f92f4ae48248470932ec160adc21e0fc0,True,69,35276,65 (1-65),,https://gate2026.iitg.ac.in/doc/download/2023/cs_2023.pdf,n/a,"Official GATE 2023 paper, byte-identical (SHA-1) to IIT Kanpur's gate.iitk.ac.in/GATE2023/doc/papers/2023/CS_GATE2023.pdf per its Wayback digest (gate.iitk.ac.in itself unreachable: 502 at CONNECT); same size on the gate2027/2025/2024 archives. Text 'Organizing Institute: IIT Kanpur' and 'GATE 2023 Computer Science and Information Technology (CS)'. Merged file: GA pp.1-7 ('Page x of 7') + CS pages printed 'Page 1-62 of 83' (numbering only; all questions present). Q.1-65. 69 pp; 35276 text chars."
CS/2024/CS_2024_S1_KEY.pdf,CS,2024,1,KEY,313008,f713276ef5a4cc59d6c5925ba7e4c72f6f669ab6866956cc45cb8f3e0f5817cf,True,2,1445,64 (1-65),,https://gate2024.iisc.ac.in/wp-content/uploads/2024/CS1FinalAnswerKey.pdf,final,Official IISc; PDF footer 'Computer Science & Information Technology (CS1) Final Answer Key'; uploaded 2024-03-14 (final-keys notice dated 2024-03-15); session 5. 65 rows: GA 1-10 + CS-1 11-65; no MTA. Provisional key .../uploads/2024/CS1Key.pdf (2024-02-17) not saved. 2 pp; 1445 text chars.
CS/2024/CS_2024_S1_QP.pdf,CS,2024,1,QP,834514,18cf9ac15c01bdbf9d767c7a402d63234a28ae91c8ec227090ba5a5fdef121dd,True,36,30096,65 (1-65),,https://gate2024.iisc.ac.in/wp-content/uploads/2024/CS124S5.pdf,n/a,"Official IISc Bengaluru; page header 'Computer Science and Information Technology Set 1 (CS1)' + 'Organizing Institute: IISc Bengaluru'; year not printed in the text; PDF created 2024-02-11. URL taken from the site's WordPress media API, because the question-papers table loads via admin-ajax, which the site's Azure WAF answers with 403. Q.1-65. 36 pp; 30096 text chars."
